n;r;a;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
30;200.00;1;1;30;0.95;236;23600;23600;0.0023462919634766877;715.8380877289562;1823.301574430021;586.3303112117308;0
30;200.00;1;2;30;0.95;236;23600;23600;0.002565619011875242;645.9546061569214;1826.302753640979;619.830769837574;0
30;200.00;1;3;30;0.95;236;23600;23600;0.0024520099977962673;687.1943165571497;2356.8491094090277;568.1911709315788;0
50;25.00;0;0;50;0.95;396;39600;39600;0.00428624905180186;7958.75377035328;4293.200756404083;6777.689211340301;0
50;25.00;0;1;50;0.95;396;39600;39600;0.0031283580465242267;7509.224968443358;4665.56077369093;7245.456394728768;0
50;25.00;0;2;50;0.95;396;39600;39600;0.0029072898905724287;7689.148559123934;5003.160737661994;6423.542358879178;10.168000000000177
50;25.00;0;3;50;0.95;396;39600;39600;0.0028428719379007816;8145.159670204595;5916.9422675879905;7027.248208823253;0
50;25.00;1;0;50;0.95;396;39600;39600;0.0038891369476914406;7217.223398009428;3602.983110109926;7196.958278454286;98.42664059342283
50;25.00;1;1;50;0.95;396;39600;39600;0.002792202983982861;7520.762718695308;5594.267309239949;7278.210309011839;33.79531191315337
50;25.00;1;2;50;0.95;396;39600;39600;0.002597081009298563;8007.6257488312085;6254.318742063944;7239.577952759932;10.722952926253413
50;25.00;1;3;50;0.95;396;39600;39600;0.0025982080260291696;8873.062380304696;5082.281983114895;7925.129057310568;0
50;50.00;0;0;50;0.95;396;39600;39600;0.0038001089124009013;5420.814627669528;5303.187270755065;4469.83425511808;0
50;50.00;0;1;50;0.95;396;39600;39600;0.0031407440546900034;5871.309390039769;3731.265492134029;5857.728437351217;1075.6811031380732
50;50.00;0;2;50;0.95;396;39600;4826;0.003662638016976416;4459.794850263567;2318.7980561159784;3756.44891980394;3.7747063771914746
50;50.00;0;3;50;0.95;396;39600;39600;0.00332795106805861;4731.4778440966165;3484.3438881360926;4080.277546428911;0
50;50.00;1;0;50;0.95;396;39600;39600;0.0037045219214633107;4041.5470981452218;6897.77935269603;3516.5831177972113;0
50;50.00;1;1;50;0.95;396;39600;39600;0.004394648014567792;4950.51606643664;6070.917913489044;3081.8159664783598;0
50;50.00;1;2;50;0.95;396;39600;39600;0.0029812880093231797;4509.67132705845;2764.6885648639873;4499.385417275167;606.0033553393384
50;50.00;1;3;50;0.95;396;39600;39600;0.0038899920182302594;4750.746615372556;3541.651578612975;4359.867710894821;65.36355124569835
50;100.00;0;0;50;0.95;396;39600;39600;0.004480427014641464;1928.631149753286;8184.159817517037;1609.5155569675826;0
50;100.00;0;1;50;0.95;396;39600;39600;0.003087666933424771;2588.95143602985;8174.822687426;2205.726053064578;0
50;100.00;0;2;50;0.95;396;39600;39600;0.004559547989629209;2127.921538236761;3838.1580163630424;2074.6015680666164;3.2817093978127154
50;100.00;0;3;50;0.95;396;39600;25282;0.004373574978671968;2622.4234332055207;2484.7615035540657;2282.3647078903728;0
50;100.00;1;0;50;0.95;396;39600;39600;0.0038400820922106504;2240.798825113405;4110.639208030072;1933.851072361312;0
50;100.00;1;1;50;0.95;396;39600;39600;0.0030994690023362637;2096.7983888677772;9738.114454930066;1716.2691966829857;0
50;100.00;1;2;50;0.95;396;39600;39600;0.003894388908520341;2402.84579179885;6344.712182817049;1637.1809549468849;0
50;100.00;1;3;50;0.95;396;39600;39600;0.004278874956071377;2358.7492992296575;6946.308148306096;1880.4638841698404;0
50;200.00;0;0;50;0.95;396;39600;8168;0.005374061060138047;1415.428166239153;2123.8620516990777;1384.3001652596377;53.616444714815245
50;200.00;0;1;50;0.95;396;39600;7986;0.004683463019318879;1352.5883166739939;2861.6942118520383;1352.5883166739939;0
50;200.00;0;2;50;0.95;396;39600;39600;0.00399220606777817;1439.9202340529853;12193.998208493926;1306.807635202039;0
50;200.00;0;3;50;0.95;396;39600;39600;0.0033234369475394487;1442.920375442834;9607.540980002028;1219.6679399869918;0
50;200.00;1;0;50;0.95;396;39600;39600;0.005580201046541333;1169.2410671977977;13363.991402331972;1060.4704968329502;0
50;200.00;1;1;50;0.95;396;39600;4509;0.003641229006461799;1459.7356696791508;2003.0861319530522;1458.8493170652239;25.690579191152494
50;200.00;1;2;50;0.95;396;39600;39600;0.0038785190554335713;1223.9527884670918;9351.823610391002;1070.1516156137502;0
50;200.00;1;3;50;0.95;396;39600;39600;0.0029217349365353584;1216.9385109551774;8013.336756112985;1103.338789338984;0
